repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
jasonlong/jasonlong,27,1,23,1,4,338,634,0,11,9251,1298,0,0,0,0,0,30,61,59,0,0,0,0,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,1,0,2,0,66,142,1614,0,142,1,3,142,77,0.016050347,0,0,0.016050347,1,8,1
tebjan/Sanford.Multimedia.Midi,0,0,0,0,0,0,0,0,0,0,0,10,1313,6,852,2,2,57,351,373,3,0,0,1,37,39,0,1,7,129,380,0,3,1,42,0,5960,2492,0,30,2,1,11920,4985,1,302,80852,0,25,1,1,302,2657,3,0,1,0,58,630,2028,5,149,0,1,149,3,0,0,0,0,0,0,0
chrisriesgo/xamarin-forms-carouselview,632,4,36,4,366,29,2477,1750,17,18330,10609,2,506,13,210,3,2,58,1023,232,1,0,0,1,39,43,7,3,28,78,291,0,1,1,3,0,56,29,0,43,5,1,280,147,0,0,0,0,0,0,0,0,2477,2,0,1,0,62,1010,1368,4,147,0,1,147,2,0,0,0,0,0,0,0
bcbcarl/react-c3js,801,2,35,3,204,81,2321,1395,11,64900,16534,6,1464,12,827,4,2,58,1349,189,1,0,0,1,43,75,22,2,39,96,3802,0,1,1,1,0,35,10,0,42,17,2,597,179,0,0,0,60,6,9,9,0,2322,13,29,2,0,60,1438,910,4,146,0,1,146,7,0,0,0,0,0,0,0
javascript-obfuscator/react-native-obfuscating-transformer,0,0,0,0,0,0,0,0,0,0,0,3,368,7,9,1,2,68,0,371,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,16,0,2,0,81,0,1757,0,144,0,1,100,3,0,0,0,0,0,0,1
mpgn/CVE-2019-7238,43,1,25,3,21,6,1131,1131,4,260,125,1,43,6,20,1,5,51,174,76,1,0,0,1,15,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,1,0,1,0,54,914,9,0,148,0,1,148,28,0,0,0,0,0,0,1
xadhoom/mod_bcg729,30,2,58,2,3,35,3175,89,6,1035,100,7,39,3,2,1,2,95,1568,238,2,0,0,1,36,31,1,3,9,71,186,0,3,1,1,0,3,0,7,37,1,1,3,0,0,0,0,0,12,3,3,0,3175,2,0,2,0,100,1298,31,0,148,0,1,148,2,0,0,0,0,0,0,0
webjyh/MPreview.mobile,471,3,14,2,1,4,2455,1109,3,1884,2,1,471,4,0,2,2,68,228,84,1,0,0,1,17,5,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,2455,1,0,3,0,69,3526,43,0,147,0,1,147,4,0,0,0,0,0,0,1
yulonglong/VisuAlgo-List,977,3,44,3,52,33,2845,1752,8,32257,1701,1,17,4,17,3,2,50,161,256,1,0,0,1,36,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,283858,141,29,1,1,58,2780,1,0,3,0,57,2700,424,0,149,0,1,149,3,0,0,0,0,0,0,1
oopww1992/WWSideslipViewController,509,13,40,2,228,7,2774,2090,5,3565,1597,1,712,5,319,1,2,51,30,66,1,0,0,1,16,5,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,1,0,1,0,51,790,1392,0,149,0,1,149,2,0,0,0,0,0,0,1
mattzheng/keras-yolov3-KF-objectTracking,445,3,19,6,61,12,1168,1167,9,5341,728,1,445,12,60,2,2,66,201,281,0,0,0,1,36,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,1,0,2,0,67,13388,307,0,149,0,1,149,4,0,0,0,0,0,0,1
myleott/ark-twokenize-py,209,1,32,1,7,5,3259,1428,2,1046,34,2,209,2,6,2,2,58,258,799,1,0,0,1,15,5,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3259,1,0,1,0,61,1447,20,0,142,0,1,142,2,0,0,0,0,0,0,1
FlutterComunidadeBR/empresas-que-usam-flutter-no-brasil,1,1,118,1,1,1,649,649,1,1,1,26,2,2,0,1,5,50,0,144,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,1,0,0,0,51,0,130,2,146,0,1,146,19,0,0,0,0,0,0,1
coreGreenberet/homematicip-rest-api,77,3,57,3,28,1237,1874,26,20,95691,34070,30,68,32,35,8,1,51,471,878,2,0,0,1,34,438,68,7,18,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929,29,33,33,0,1874,1,0,2,2,51,14337,1872,4,147,1,1,147,3,0.158942901,0,0,0.158942901,1,6,0
thanhniencung/LuckyWheel,80,5,59,3,20,33,1973,991,8,2639,649,4,79,6,14,1,2,63,156,130,1,0,0,1,32,43,0,2,32,59,75,0,1,1,2,0,16,27,0,25,7,1,112,189,0,0,0,0,0,0,0,0,1973,1,0,1,0,74,2312,378,0,146,0,1,146,3,0,0,0,0,0,0,1
SecWiki/android-kernel-exploits,611,7,59,2,3,5,1546,1481,2,3055,13,0,0,0,0,0,2,66,0,71,2,0,0,1,18,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,1,0,3,0,66,1398,33,0,142,0,1,142,5,0,0,0,0,0,0,1
mgp25/Telegram-Bot-API,47,1,58,2,25,52,2453,1460,11,2420,1290,4,25,10,6,3,1,86,394,141,1,0,0,1,31,30,0,2,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,3,3,0,2453,1,0,1,0,90,1771,40,3,145,0,1,145,2,0,0,0,0,0,0,1
